,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,state
0,0,0.6766253579892189,2024-06-22 21:03:36.722026,2024-06-22 21:04:50.527529,0 days 00:01:13.805503,0.9863176000786247,0.2509265432443262,0.09426698016661879,5,3,173,0.7087375444849926,0.676593380078819,0.6766253579892189,0.6776479132940891,0.676593380078819,COMPLETE
1,1,0.7980557814925316,2024-06-22 21:04:50.575241,2024-06-22 21:07:13.697938,0 days 00:02:23.122697,0.8292775741009016,0.19292434869000308,0.11810573071684959,8,1,154,0.9911580226024999,0.7988116215419186,0.7980557814925316,0.7978138062944674,0.7988116215419186,COMPLETE
2,2,0.9008209326537622,2024-06-22 21:07:13.742718,2024-06-22 21:10:52.313510,0 days 00:03:38.570792,0.9163603212396902,0.26418682049439596,0.1484597090053464,10,1,219,0.7264301921095206,0.9014494025205518,0.9008209326537622,0.9007330766645757,0.9014494025205518,COMPLETE
3,3,0.7247210321030987,2024-06-22 21:10:52.356411,2024-06-22 21:13:58.018299,0 days 00:03:05.661888,0.6118220585701533,0.1340615777022797,0.011993528254981546,9,1,204,0.8683757835056378,0.7236020833181009,0.7247210321030987,0.7271355911323018,0.7236020833181009,COMPLETE
4,4,0.8611306657363601,2024-06-22 21:13:58.061244,2024-06-22 21:17:28.570449,0 days 00:03:30.509205,0.8341217337402999,0.27988579135049496,0.09280218995789673,9,3,270,0.7156070576669388,0.862144686783311,0.8611306657363601,0.8610771721854723,0.862144686783311,COMPLETE
5,5,0.7868025558064953,2024-06-22 21:17:28.609026,2024-06-22 21:18:57.185383,0 days 00:01:28.576357,0.9930254610670074,0.1262989752056972,0.07291920004286882,9,4,106,0.7972857269759484,0.7872227380961085,0.7868025558064953,0.7869544880332405,0.7872227380961085,COMPLETE
6,6,0.5321100846203091,2024-06-22 21:18:57.252817,2024-06-22 21:19:20.678434,0 days 00:00:23.425617,0.7537577302353018,0.13001222099431503,0.015840168625502336,4,4,61,0.8520804505055015,0.5361010170433359,0.5321100846203091,0.5396339017758728,0.5361010170433359,COMPLETE
7,7,0.6955978858711799,2024-06-22 21:19:20.718938,2024-06-22 21:20:03.405319,0 days 00:00:42.686381,0.8102925253546148,0.3633475922189161,0.1293411117011068,6,5,92,0.6448343234181544,0.695340318346994,0.6955978858711799,0.6961878235646569,0.695340318346994,COMPLETE
8,8,0.7227733728319675,2024-06-22 21:20:03.463370,2024-06-22 21:23:10.220228,0 days 00:03:06.756858,0.6043982448094782,0.14166464456348998,0.010917695811556492,9,4,227,0.6828042114499552,0.7216474493489021,0.7227733728319675,0.7251706865277496,0.7216474493489021,COMPLETE
9,9,0.643255548586601,2024-06-22 21:23:10.259740,2024-06-22 21:24:33.328462,0 days 00:01:23.068722,0.7489051810741039,0.2563341883464084,0.14091023194023475,3,4,294,0.8611919458004319,0.6444515935628687,0.643255548586601,0.6443950069845402,0.6444515935628687,COMPLETE
10,10,0.7153516733482707,2024-06-22 21:24:33.378840,2024-06-22 21:26:45.345259,0 days 00:02:11.966419,0.9121821527870108,0.370941823706668,0.034101230507177824,7,2,240,0.766729669271959,0.7148184164540211,0.7153516733482707,0.7160976823731989,0.7148184164540211,COMPLETE
11,11,0.9179618939378448,2024-06-22 21:26:45.388857,2024-06-22 21:32:05.428188,0 days 00:05:20.039331,0.8844728267832165,0.2669283369818355,0.19219370997976734,10,2,289,0.73289857074142,0.9183611295932071,0.9179618939378448,0.917892896515829,0.9183611295932071,COMPLETE
12,12,0.9175793745886293,2024-06-22 21:32:05.473504,2024-06-22 21:36:44.434781,0 days 00:04:38.961277,0.9085467330266714,0.1924368259179383,0.1835913109651769,10,2,299,0.6157947255464288,0.9179833636764666,0.9175793745886293,0.9174947325605688,0.9179833636764666,COMPLETE
13,13,0.9182084575370899,2024-06-22 21:36:44.493339,2024-06-22 21:41:39.772557,0 days 00:04:55.279218,0.8949524522428005,0.19188897478555952,0.18751434375716014,10,2,297,0.6080067039826521,0.9186024123400284,0.9182084575370899,0.9181220298710548,0.9186024123400284,COMPLETE
14,14,0.7894667627819247,2024-06-22 21:41:39.827367,2024-06-22 21:44:25.141927,0 days 00:02:45.314560,0.8736681358797189,0.16696315482444166,0.05373766479684348,8,2,254,0.6068584977866465,0.7901181310579638,0.7894667627819247,0.7892251123208299,0.7901181310579638,COMPLETE
15,15,0.8313258767604276,2024-06-22 21:44:25.179997,2024-06-22 21:49:06.609144,0 days 00:04:41.429147,0.737733129863844,0.22817386287130811,0.0316532154962022,10,2,269,0.9216541221209679,0.8321135150021813,0.8313258767604276,0.83161418270441,0.8321135150021813,COMPLETE
16,16,0.8124547792163082,2024-06-22 21:49:06.648357,2024-06-22 21:50:44.030354,0 days 00:01:37.381997,0.952137818487336,0.10503606185761523,0.19199120522366264,7,3,189,0.6624669818899982,0.8135493666937196,0.8124547792163082,0.8122348646926704,0.8135493666937196,COMPLETE
17,17,0.7577001947184687,2024-06-22 21:50:44.073257,2024-06-22 21:52:13.703358,0 days 00:01:29.630101,0.869170809029735,0.3250472023222193,0.06600515642436382,8,2,132,0.7609909960859592,0.7576887550053985,0.7577001947184687,0.757836942342276,0.7576887550053985,COMPLETE
18,18,0.655302289644269,2024-06-22 21:52:13.742374,2024-06-22 21:54:16.181940,0 days 00:02:02.439566,0.6621746543472296,0.1663695383102271,0.022132020698193484,6,3,274,0.6469303871903651,0.6547877564847785,0.655302289644269,0.6579486164838367,0.6547877564847785,COMPLETE
19,19,0.89551274758036,2024-06-22 21:54:16.224948,2024-06-22 21:59:12.035374,0 days 00:04:55.810426,0.8767110760728324,0.3072406109131424,0.09530464691024504,10,1,296,0.7705080983051263,0.896226484071683,0.89551274758036,0.8954367056025502,0.896226484071683,COMPLETE
20,20,0.8660667719435858,2024-06-22 21:59:12.077726,2024-06-22 22:01:41.019747,0 days 00:02:28.942021,0.9393047243483165,0.21758295302265857,0.19554540406718007,8,2,238,0.8214113965078554,0.8670507693020104,0.8660667719435858,0.8659817514356939,0.8670507693020104,COMPLETE
21,21,0.9173965693597944,2024-06-22 22:01:41.061209,2024-06-22 22:06:23.084914,0 days 00:04:42.023705,0.9033959595824358,0.1895586238614147,0.18254176734604655,10,2,299,0.6047999875165985,0.9178054481156792,0.9173965693597944,0.9172947814236001,0.9178054481156792,COMPLETE
22,22,0.9096157082202083,2024-06-22 22:06:23.124169,2024-06-22 22:10:52.297323,0 days 00:04:29.173154,0.9593955178099183,0.16347926947056282,0.14805890363357277,10,2,276,0.6030366456585755,0.9101307070071921,0.9096157082202083,0.9094946095469325,0.9101307070071921,COMPLETE
23,23,0.8693079062720378,2024-06-22 22:10:52.335743,2024-06-22 22:14:03.910552,0 days 00:03:11.574809,0.785627322519744,0.2221491084307878,0.11088345838035091,9,1,252,0.6845090087172779,0.8702703097924237,0.8693079062720378,0.8692480397788888,0.8702703097924237,COMPLETE
24,24,0.9189566468555389,2024-06-22 22:14:03.963149,2024-06-22 22:18:35.318067,0 days 00:04:31.354918,0.8460204135702047,0.1833912490167835,0.19878308380252957,10,2,299,0.6371710215156456,0.9193408837772692,0.9189566468555389,0.9188829607244164,0.9193408837772692,COMPLETE
25,25,0.8446752430943772,2024-06-22 22:18:35.366383,2024-06-22 22:21:53.620578,0 days 00:03:18.254195,0.8540540441550035,0.15359489050654834,0.07264461028662893,9,3,258,0.6517495755947226,0.8456911532096698,0.8446752430943772,0.8445901352911953,0.8456911532096698,COMPLETE
26,26,0.9111182070509626,2024-06-22 22:21:53.656802,2024-06-22 22:26:06.959805,0 days 00:04:13.303003,0.7980798335858779,0.21023896680573298,0.16130899633428922,10,2,282,0.7285029986475839,0.9116173986795254,0.9111182070509626,0.9110139891692975,0.9116173986795254,COMPLETE
27,27,0.7854225271516956,2024-06-22 22:26:07.002654,2024-06-22 22:27:55.465686,0 days 00:01:48.463032,0.8511280825773514,0.18126485150574373,0.11470742322270852,7,1,211,0.6789807736860332,0.7862429839120463,0.7854225271516956,0.7850654802873551,0.7862429839120463,COMPLETE
28,28,0.7797917571410046,2024-06-22 22:27:55.516461,2024-06-22 22:30:52.987721,0 days 00:02:57.471260,0.7207107941061223,0.2334762036305134,0.043002304581472625,8,3,283,0.6354913221075875,0.7803010916216394,0.7797917571410046,0.7795727450304328,0.7803010916216394,COMPLETE
29,29,0.6754841827544329,2024-06-22 22:30:53.045152,2024-06-22 22:32:01.176204,0 days 00:01:08.131052,0.9723668799897258,0.2801880634776586,0.091612294747982,5,3,175,0.697418612755727,0.6754552079296722,0.6754841827544329,0.6764936410399361,0.6754552079296722,COMPLETE
30,30,0.8835742058130442,2024-06-22 22:32:01.231823,2024-06-22 22:34:59.679143,0 days 00:02:58.447320,0.7743941006105712,0.24203387575642155,0.15548585015705577,9,2,244,0.7463264889584509,0.8844255642726057,0.8835742058130442,0.8834750236465753,0.8844255642726057,COMPLETE
31,31,0.9189795492034835,2024-06-22 22:34:59.717031,2024-06-22 22:39:37.528590,0 days 00:04:37.811559,0.8953166757738393,0.2014036318038944,0.194061691410492,10,2,300,0.6303363772269595,0.9193701301708233,0.9189795492034835,0.9188991030978441,0.9193701301708233,COMPLETE
32,32,0.9112973292746531,2024-06-22 22:39:37.569096,2024-06-22 22:43:42.803490,0 days 00:04:05.234394,0.8921590764097515,0.20304555787803433,0.16634836156775878,10,2,261,0.6294254202714258,0.9117977514397756,0.9112973292746531,0.9111672701233123,0.9117977514397756,COMPLETE
33,33,0.9069752954028921,2024-06-22 22:43:42.843526,2024-06-22 22:48:35.465709,0 days 00:04:52.622183,0.9336894098539501,0.17869951960962357,0.12585429735602793,10,1,286,0.6672409743445428,0.9075204663824893,0.9069752954028921,0.9068725907974825,0.9075204663824893,COMPLETE
34,34,0.8784655282723826,2024-06-22 22:48:35.524967,2024-06-22 22:52:25.273200,0 days 00:03:49.748233,0.8404554833204673,0.14929325606169655,0.10791493994118033,9,1,300,0.7037364027553155,0.8793635009882843,0.8784655282723826,0.8783838293429844,0.8793635009882843,COMPLETE
35,35,0.9084518235630998,2024-06-22 22:52:25.313213,2024-06-22 22:55:55.189912,0 days 00:03:29.876699,0.8216457892210922,0.20227193818782213,0.1951988294734817,10,2,229,0.9416428870944562,0.9089730372623426,0.9084518235630998,0.9083843774875033,0.9089730372623426,COMPLETE
36,36,0.8507158079956029,2024-06-22 22:55:55.230668,2024-06-22 22:57:54.796671,0 days 00:01:59.566003,0.9273466242962657,0.30542907317551393,0.1376731114226251,9,3,157,0.6277927685819478,0.8517280962791277,0.8507158079956029,0.8506083352087822,0.8517280962791277,COMPLETE
37,37,0.8779258807283625,2024-06-22 22:57:54.838782,2024-06-22 23:00:29.653722,0 days 00:02:34.814940,0.875366231856556,0.28004480734753523,0.16849464170853715,9,1,194,0.654770976007641,0.878834628704848,0.8779258807283625,0.8778359972211333,0.878834628704848,COMPLETE
38,38,0.8226416384165441,2024-06-22 23:00:29.705844,2024-06-22 23:03:23.798216,0 days 00:02:54.092372,0.8954900254308871,0.11289100015277972,0.08563725165445078,8,2,266,0.7330842454942601,0.8236344980709566,0.8226416384165441,0.8224561204449935,0.8236344980709566,COMPLETE
39,39,0.9028850364792581,2024-06-22 23:03:23.846196,2024-06-22 23:07:37.514394,0 days 00:04:13.668198,0.9972892000923451,0.18018339002151812,0.13108757950681377,10,5,285,0.79736579916575,0.9034917756704126,0.9028850364792581,0.9027430397979068,0.9034917756704126,COMPLETE
40,40,0.5883243444512881,2024-06-22 23:07:37.559827,2024-06-22 23:07:57.626000,0 days 00:00:20.066173,0.8197334400754683,0.249686107186097,0.15341904634555656,3,1,61,0.6193128618632262,0.5901824731237829,0.5883243444512881,0.5915354458133252,0.5901824731237829,COMPLETE
41,41,0.9186627378849356,2024-06-22 23:07:57.669898,2024-06-22 23:12:36.302656,0 days 00:04:38.632758,0.9157563645693285,0.18955647611398813,0.19929255224904183,10,2,300,0.6269225069531698,0.9190435454428026,0.9186627378849356,0.9185885088836221,0.9190435454428026,COMPLETE
42,42,0.9034452309749478,2024-06-22 23:12:36.353418,2024-06-22 23:16:15.637019,0 days 00:03:39.283601,0.8891667943456465,0.3974133913658864,0.1962166807881796,9,2,287,0.6725697897590761,0.9040474571479405,0.9034452309749478,0.9032679653630931,0.9040474571479405,COMPLETE
43,43,0.9111917532651752,2024-06-22 23:16:15.676412,2024-06-22 23:20:22.891096,0 days 00:04:07.214684,0.8549027057700865,0.17256077950101306,0.16817740956104454,10,2,268,0.6402528524386972,0.9116880774639476,0.9111917532651752,0.9110766335453212,0.9116880774639476,COMPLETE
44,44,0.9069786587629339,2024-06-22 23:20:22.946316,2024-06-22 23:24:35.727563,0 days 00:04:12.781247,0.9194337925355367,0.19302147865772126,0.13879783696744075,10,3,277,0.7034769821727898,0.9075424011776546,0.9069786587629339,0.9068541200546546,0.9075424011776546,COMPLETE
45,45,0.7495459565932355,2024-06-22 23:24:35.769773,2024-06-22 23:28:59.272481,0 days 00:04:23.502708,0.9717346199657699,0.1581146851297862,0.01385186529463026,9,2,289,0.6232091549528179,0.7490342597128491,0.7495459565932355,0.7508549076684737,0.7490342597128491,COMPLETE
46,46,0.6604607673242918,2024-06-22 23:28:59.315035,2024-06-22 23:30:16.818690,0 days 00:01:17.503655,0.835684544489448,0.1415244708155722,0.10539164224820985,4,2,249,0.8936708666910957,0.6610074895139493,0.6604607673242918,0.6615307074990332,0.6610074895139493,COMPLETE
47,47,0.8353330139420215,2024-06-22 23:30:16.855568,2024-06-22 23:31:42.243606,0 days 00:01:25.388038,0.9472131048696203,0.2646444336087966,0.12465333802504472,10,3,85,0.6859365873779681,0.8362006985013662,0.8353330139420215,0.8353666840414342,0.8362006985013662,COMPLETE
48,48,0.7756232243735907,2024-06-22 23:31:42.284694,2024-06-22 23:35:48.815465,0 days 00:04:06.530771,0.9207675185264174,0.21344867899647568,0.020075326454764383,9,2,292,0.7157771806023426,0.7757289054293492,0.7756232243735907,0.7761045285415887,0.7757289054293492,COMPLETE
49,49,0.8782164125304787,2024-06-22 23:35:48.855744,2024-06-22 23:37:57.075486,0 days 00:02:08.219742,0.8673750475411354,0.18761911747695426,0.17366887028470052,10,2,138,0.9922155011495014,0.879046665058115,0.8782164125304787,0.8782058687121698,0.879046665058115,COMPLETE
